						
	Accessible in game	True Pacifist	Not accessible	TODO		
WHICH PIRANHAS&DO NOT LIKE!/			Papyrus	Snowdin	room_tundra_randoblock	
PURPLE AND&BLUE ARE OK!/			Papyrus	Snowdin	room_tundra_randoblock	
FINALLY^1,&PINK TILES./			Papyrus	Snowdin	room_tundra_randoblock	
THEY DON'T DO&ANYTHING./			Papyrus	Snowdin	room_tundra_randoblock	
STEP ON THEM&ALL YOU LIKE./			Papyrus	Snowdin	room_tundra_randoblock	
HOW WAS THAT!^1?&UNDERSTAND???/			Papyrus	Snowdin	room_tundra_randoblock	
* (Understand the explanation?)& &         Of course   No        \C 			Narrator and Frisk	Snowdin	room_tundra_randoblock	
GREAT!^1!&THEN THERE'S ONE&LAST THING.../			Papyrus	Snowdin	room_tundra_randoblock	
THIS PUZZLE.../			Papyrus	Snowdin	room_tundra_randoblock	
IS ENTIRELY RANDOM&!!!!!!/			Papyrus	Snowdin	room_tundra_randoblock	
WHEN I PULL THIS&SWITCH^1, IT WILL&MAKE A PUZZLE.../			Papyrus	Snowdin	room_tundra_randoblock	
THAT HAS NEVER&BEEN SEEN BEFORE!/			Papyrus	Snowdin	room_tundra_randoblock	
NOT EVEN I WILL&KNOW THE SOLUTION!/			Papyrus	Snowdin	room_tundra_randoblock	
NYEH HEH HEH^1!&GET READY...!/%%			Papyrus	Snowdin	room_tundra_randoblock	
conversation						
OKAY..^1.&I GUESS I'LL&REPEAT MYSELF.../			Papyrus	Snowdin	room_tundra_randoblock	
\E0RED TILES ARE&IMPASSABLE./			Papyrus	Snowdin	room_tundra_randoblock	
YELLOW TILES ARE&ELECTRIC AND&DANGEROUS./			Papyrus	Snowdin	room_tundra_randoblock	
BLUE TILES MAKE&YOU FIGHT A&MONSTER./			Papyrus	Snowdin	room_tundra_randoblock	
GREEN TILES ARE&WATER TILES./			Papyrus	Snowdin	room_tundra_randoblock	
ORANGE TILES ARE&ORANGE SCENTED./			Papyrus	Snowdin	room_tundra_randoblock	
IF YOU STEP ON&ORANGE^1, DON'T STEP&ON GREEN./			Papyrus	Snowdin	room_tundra_randoblock	
\E3BROWN TILES ARE.../			Papyrus	Snowdin	room_tundra_randoblock	
\E1WAIT!!^1!&THERE ARE NO&BROWN TILES.../			Papyrus	Snowdin	room_tundra_randoblock	
\E0PURPLE TILES&SMELL LIKE&LEMONS.../			Papyrus	Snowdin	room_tundra_randoblock	
\E3WHY DON'T THE&YELLOW ONES&SMELL LEMONY?/			Papyrus	Snowdin	room_tundra_randoblock	
\E3UMM.../			Papyrus	Snowdin	room_tundra_randoblock	
\E1WAIT!^1!&DID I MIX UP&GREEN AND BLUE!?/			Papyrus	Snowdin	room_tundra_randoblock	
THE BLUE ONES&ARE WATER ONES!/			Papyrus	Snowdin	room_tundra_randoblock	
\E3PINK TILES.../			Papyrus	Snowdin	room_tundra_randoblock	
I DON'T..^1.&REMEMBER???/			Papyrus	Snowdin	room_tundra_randoblock	
\E1WAIT!!!/			Papyrus	Snowdin	room_tundra_randoblock	
\E3THOSE ONES DON'T&DO ANYTHING./			Papyrus	Snowdin	room_tundra_randoblock	
\E0OKAY^1!&DO YOU UNDERSTAND&BETTER NOW!?/			Papyrus	Snowdin	room_tundra_randoblock	
* (Understand the explanation?)& &         Yes         Even less \C 			Narrator and Frisk	Snowdin	room_tundra_randoblock	
........../			Papyrus	Snowdin	room_tundra_randoblock	
OK^1, YOU KNOW&WHAT???/			Papyrus	Snowdin	room_tundra_randoblock	
HOW ABOUT..^1.&YOU JUST.../			Papyrus	Snowdin	room_tundra_randoblock	
DO THIS PUZZLE..^1.&ON YOUR OWN.../			Papyrus	Snowdin	room_tundra_randoblock	
I'LL LEAVE THE&INSTRUCTIONS.../			Papyrus	Snowdin	room_tundra_randoblock	
JUST READ THEM./			Papyrus	Snowdin	room_tundra_randoblock	
THEN WHEN YOU&UNDERSTAND IT.../			Papyrus	Snowdin	room_tundra_randoblock	
YOU CAN THROW&THE SWITCH./			Papyrus	Snowdin	room_tundra_randoblock	
AND DO IT AT&YOUR OWN PACE./			Papyrus	Snowdin	room_tundra_randoblock	
GOOD LUCK./			Papyrus	Snowdin	room_tundra_randoblock	
NYEH..^1.&HEH..^1.&HEH!/%%			Papyrus	Snowdin	room_tundra_randoblock	
* (There's a lone quiche&  sitting underneath&  this bench.)/			Narrator	Waterfall	room_water5A	
* (Will you take it?)& &         Take it     Leave it  \C 			Narrator and Frisk	Waterfall	room_water5A	
* It's just a bench./%%			Narrator	Waterfall	room_water5A	
* (You got the Abandoned&  Quiche.)/%%			Narrator	Waterfall	room_water5A	
* (You're carrying too much.)/			Narrator	Waterfall	room_water5A	
* (You aren't ready for the&  responsibility.)/%%			Narrator	Waterfall	room_water5A	
* (The quiche was left all&  alone...)/%%			Narrator	Waterfall	room_water5A	
* (There's a tutu lying on&  the ground here.)/			Narrator	Waterfall	room_water3A	
* Nothing's here!!!/%%						
* (You got the Old Tutu.)/%%			Narrator	Waterfall	room_water3A	
* (You're carrying too much.)/%%			Narrator	Waterfall	room_water3A	
 %%				Waterfall		
card						
* (The box contains 			Narrator	Waterfall	room_water_nicecream	
 cards.)/			Narrator	Waterfall	room_water_nicecream	
* (Two bugs in the box are&  playing a 			Narrator	Waterfall	room_water_nicecream	
-card game.)/			Narrator	Waterfall	room_water_nicecream	
* (There's a smiley face made&  of 			Narrator	Waterfall	room_water_nicecream	
 cards in the box.)/			Narrator	Waterfall	room_water_nicecream	
* (A house made of 			Narrator	Waterfall	room_water_nicecream	
 cards&  sits in the box.)/			Narrator	Waterfall	room_water_nicecream	
* (The box is overstuffed with&  cards.)/			Narrator	Waterfall	room_water_nicecream	
* (Take a card?)& &         Take        Leave \C 			Narrator and Frisk	Waterfall	room_water_nicecream	
* (It's a box for storing Punch&  Cards^1.)&* (It's empty right now.)/%%			Narrator	Waterfall	room_water_nicecream	
* (You got a Punch Card.)/%%			Narrator	Waterfall	room_water_nicecream	
* (All games must end one day.^1)&* (You got a Punch Card.)/%%			Narrator	Waterfall	room_water_nicecream	
* (Happiness is fleeting.^1)&* (You got a Punch Card.)/%%			Narrator	Waterfall	room_water_nicecream	
* (The house collapses.^1)&* (You got a Punch Card.)/%%			Narrator	Waterfall	room_water_nicecream	
* (It's a pair of ballet shoes.)/			Narrator	Waterfall	room_water_shoe	
* (You got the Ballet Shoes.)/%%			Narrator	Waterfall	room_water_shoe	
* (This little bird wants to&  carry you across.)/			Narrator	Waterfall	room_water_bird	
* (Accept the bird's offer?)& &         Get ride    No        \C 			Narrator and Frisk	Waterfall	room_water_bird	
* (Umbrellas and birds...^1)&* (A bad combination.)/%%			Narrator	Waterfall	room_water_bird	
interact						
carry						
uncan						
* (It's a legendary artifact.)/			Narrator	Waterfall	room_water_dogroom	
* (The artifact is gone.)/%%			Narrator	Waterfall	room_water_dogroom	
* (This will never happen.)/%%			Narrator	Waterfall	room_water_dogroom	
* (You're carrying too many&  dogs.)/%%			Narrator	Waterfall	room_water_dogroom	
* (The fridge is filled with&  instant noodles and soda.)/			Narrator	Hotland	room_fire_lab1	
* (Take a package of noodles?)& &         Take it     Leave it  \C 			Narrator and Frisk	Hotland	room_fire_lab1	
* (The fridge is filled with&  instant noodles and soda.)/%%			Narrator	Hotland	room_fire_lab1	
* (You got the Instant Noodles.)/%%			Narrator	Hotland	room_fire_lab1	
* (You decide to stay healthy.)/%%			Narrator	Hotland	room_fire_lab1	
* (There's a frypan lying on&  the ground.)/			Narrator	Hotland	room_fire6A	
* (You got the Burnt Pan.)/%%			Narrator	Hotland	room_fire6A	
* (There's an apron lying on&  the ground.)/			Narrator	Hotland	room_fire_apron	
* (You got the Stained Apron.)/%%			Narrator	Hotland	room_fire_apron	
* (There's a Glamburger inside&  the trash can.)/			Narrator	Core	room_fire_core_treasureleft	
* (It's an empty trashcan.)/%%			Narrator	Core	room_fire_core_treasureleft	
* (You got the Glamburger.)/%%			Narrator	Core	room_fire_core_treasureleft	
* (There's 100G inside&  the trash can.)/			Narrator	Core	room_fire_core_treasureright	
* (You got 100G.)/%%			Narrator	Core	room_fire_core_treasureright	
scr_murderlv						
* (There's a worn dagger&  inside the box.)/			Narrator	New Home	room_asrielroom_final	
* (Knife inside the box.)/			Chara	New Home	room_asrielroom_final	
* (You got the Worn Dagger.)/%%			Narrator	New Home	room_asrielroom_final	
* (You got the Real Knife.)/%%			Narrator	New Home	room_asrielroom_final	
* (There's a heart-shaped&  locket inside the box.)/			Narrator	New Home	room_asrielroom_final	
* (You got the Heart-shaped&  Locket.)/%%			Narrator	New Home	room_asrielroom_final	
* (You got The Locket.)/%%			Narrator	New Home	room_asrielroom_final	
* (The box is empty.)/%%			Narrator	New Home	room_asrielroom_final	
* Hello...&* Would you like some&  Nice Cream...?/			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* It's the frozen treat...&* That warms your heart./			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* Now only 12G!& &         Yes         No \C			Nice Cream Guy and Frisk	Hotland	room_fire_hotelfront_1	
* Nice Cream^1.&* It's the frozen treat^1.&* That warms your heart./			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* Now just 12G.& &         Yes         No \C			Nice Cream Guy and Frisk	Hotland	room_fire_hotelfront_1	
* Here^1.&* (You got the Nice Cream.)/%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* You don't have enough&  money.../%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* Drop something./%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* Life..^1. is suffering./%%			Nice Cream Guy	Hotland	room_fire_hotelfront_1	
* (Golden flowers.^1)&* (They must have&  broken your fall.)/%%			Narrator	Ruins	room_area1	
"* ""Press [Z] to read signs!""/%%"			Sign	Ruins	room_ruins3	
* Just a regular old pillar./%%			Narrator	Ruins	room_ruins6	
* Please don't step on the&  leaves./%%			Sign	Ruins	room_ruins10	
* Didn't you read the sign&  downstairs?/%%			Sign	Ruins	room_ruins10	
* WHOA there^1, pardner^2!&* Who said you could push&  me around?/			Rock	Ruins	room_ruins11	
* HMM^2?&* So you're ASKIN' me to&  move over?/			Rock	Ruins	room_ruins11	
* Okay^1, just for you^1,&  pumpkin./%%			Rock	Ruins	room_ruins11	
* HMM^2?&* You want me to move some&  more?/			Rock	Ruins	room_ruins11	
* Alrighty^1, how's this?/%%			Rock	Ruins	room_ruins11	
* HMM^2?&* That was the wrong direction?/			Rock	Ruins	room_ruins11	
* Okay^1, think I got it./%%			Rock	Ruins	room_ruins11	
* Was that helpful?/%%			Rock	Ruins	room_ruins11	
* HMM^2?&* You wanted me to STAY there?/			Rock	Ruins	room_ruins11	
* You're giving me a real&  workout./%%			Rock	Ruins	room_ruins11	
* Aren't things easier when&  you just ask?/%%			Rock	Ruins	room_ruins11	
* The exit's open^1?&* Guess I better roll out.../			Rock	Ruins	room_ruins11	
* Hey^1, y'mind giving me a&  push^1, pumpkin?/%%			Rock	Ruins	room_ruins11	
*'Take one.'&* Take a candy?&         Yes         No \C			Narrator and Frisk	Ruins	room_ruins7A	
* It says 'take one.'&* Take a piece of candy?&         Yes         No \C			Narrator and Frisk	Ruins	room_ruins7A	
* Look at what you've done./%%			Narrator	Ruins	room_ruins7A	
* You took a piece of candy.&* (Press [C] to open the menu.)/%%			Narrator	Ruins	room_ruins7A	
* You took more candy^1.&* How disgusting../%%			Narrator	Ruins	room_ruins7A	
* You take another piece.&* You feel like the&  scum of the earth.../%%			Narrator	Ruins	room_ruins7A	
* You took too much too fast.&* The candy spills onto&  the floor./%%			Narrator	Ruins	room_ruins7A	
* In this hellish world^1, you&  can only take 3 pieces&  of candy.../%%			Narrator	Ruins	room_ruins7A	
* You tried to take a piece&  of candy^1, but you didn't&  have any room./%%			Narrator	Ruins	room_ruins7A	
* You decided not to take some./%%			Narrator	Ruins	room_ruins7A	
* zzzzzzzzzzzzzzz..^1.&* zzzzzzzzzzzzzz.../			Napstablook	Ruins	room_ruins12	
* zzzzzzzzzz..^1.&* (are they gone yet^1)&* zzzzzzzzzzzzzzz.../			Napstablook	Ruins	room_ruins12	
* (This ghost keeps saying 'z'&  out loud repeatedly^1,&  pretending to sleep.)/			Narrator	Ruins	room_ruins12	
* Move it with force?& &         Yes         No \C			Narrator and Frisk	Ruins	room_ruins12	
* It says 'Take them all.'&* Take a candy?&         Yes         No \C			Narrator and Frisk	Ruins	room_ruins12B_old	
* You took a piece.&* Boy^1, that's heavy./%%			Narrator	Ruins	room_ruins12B_old	
* You can't carry more.&* It's just too heavy./%%			Narrator	Ruins	room_ruins12B_old	
* Leave 7G in the web?& &         Yes         No \C			Narrator and Frisk	Ruins	room_ruins12B	
* Some spiders crawled down&  and gave you a donut./%%			Narrator	Ruins	room_ruins12B	
* You didn't have enough&  gold./%%			Narrator	Ruins	room_ruins12B	
* You are carrying too&  many items./%%			Narrator	Ruins	room_ruins12B	
*%%			Narrator	Ruins	room_ruins12B	
* Leave 18G in the web?& &         Yes         No \C			Narrator and Frisk	Ruins	room_ruins12B	
* Some spiders crawled down&  and gave you a jug./%%			Narrator	Ruins	room_ruins12B	
* You found a Faded Ribbon./%%			Narrator	Ruins	room_ruins14	
* You are carrying too&  much./%%			Narrator	Ruins	room_ruins14	
* It's a switch.&* Press it?&         Yes         No \C			Narrator and Frisk	Ruins	room_ruins15A	
* Nothing happened./%%			Narrator	Ruins	room_ruins15A	
* You're making the switches&  uncomfortable with all&  this attention./%%			Narrator	Ruins	room_ruins15A	
* You hear a clicking sound./%%			Narrator	Ruins	room_ruins15B	
plot						
snd_play						
* You found the Toy Knife./%%			Narrator	Ruins	room_ruins18OLD	
* It's TORIEL's diary.&* Read the circled passage?&         Yes         No \C			Narrator and Frisk	Ruins	room_torielroom	
* You read the passage.../			Narrator	Ruins	room_torielroom	
"* ""Why did the skeleton want&  a friend?""/"			Toriel (diary)	Ruins	room_torielroom	
"* ""Because she was feeling&  BONELY.../"			Toriel (diary)	Ruins	room_torielroom	
* The rest of the page is&  filled with jokes of&  a similar caliber./%%			Narrator	Ruins	room_torielroom	
* You found a slice of&  butterscotch-cinnamon&  pie./%%			Narrator	Ruins	room_asrielroom	
* You found a slice of&  snail pie.../%%			Narrator	Ruins	room_asrielroom	
* Hello there^1,&  little one!/			Toriel	Ruins	room_torhouse2	
* The pie has not&  cooled down yet./			Toriel	Ruins	room_torhouse2	
* Perhaps you should&  take a nap.&  Yes         No      \C 			Toriel and Frisk	Ruins	room_torhouse2	
* Sweet dreams./%%			Toriel	Ruins	room_torhouse2	
\E1* You'd rather stay&  up and chat with&  me^1, then?/			Toriel	Ruins	room_torhouse2	
* Up already^1, I see?/			Toriel	Ruins	room_torhouse2	
\E0* Um^1, I want you to know&  how glad I am to&  have someone here./			Toriel	Ruins	room_torhouse2	
* There are so many&  old books I want&  to share./			Toriel	Ruins	room_torhouse2	
* I want to show you&  my favorite bug-&  hunting spot./			Toriel	Ruins	room_torhouse2	
* I've also prepared&  a curriculum for&  your education./			Toriel	Ruins	room_torhouse2	
* This may come as&  a surprise to you.../			Toriel	Ruins	room_torhouse2	
* But I have always&  wanted to be a&  teacher./			Toriel	Ruins	room_torhouse2	
\E1* ... actually^1, perhaps&  that isn't very&  surprising./			Toriel	Ruins	room_torhouse2	
\E5* STILL./			Toriel	Ruins	room_torhouse2	
\E0* I am glad to have&  you living here./			Toriel	Ruins	room_torhouse2	
\E1* Oh^1, did you&  want something?/			Toriel	Ruins	room_torhouse2	
* What is it?&               When can&  Nothing      I go home?\C 			Toriel and Frisk	Ruins	room_torhouse2	
* Well^1, talk to me&  again if you&  need anything./%%			Toriel	Ruins	room_torhouse2	
\E1* What^1?&* This..^1. this IS your&  home now./			Toriel	Ruins	room_torhouse2	
* Um..^1. would you like&  to hear about this&  book I am reading?/			Toriel	Ruins	room_torhouse2	
\E0* Oh^1, hello!/			Toriel	Ruins	room_torhouse2	
* Did you want to&  hear about the&  book I am reading?/			Toriel	Ruins	room_torhouse2	
"\E0* It is called&  ""72 Uses for Snails.""/"			Toriel	Ruins	room_torhouse2	
* How about it?&              How to exit&  Sure        the RUINS\C 			Toriel and Frisk	Ruins	room_torhouse2	
* Here is an exciting&  snail fact./			Toriel	Ruins	room_torhouse2	
\E1* Um^1.^1.^1.&*\E0 How about an exciting&  snail fact?/			Toriel	Ruins	room_torhouse2	
\E2* Did you know&  that snails.../			Toriel	Ruins	room_torhouse2	
r						
\E0* Have a chainsaw-like&  tongue called a&  radula?/			Toriel	Ruins	room_torhouse2	
\E0* Sometimes flip their&  digestive systems&  as they mature?/			Toriel	Ruins	room_torhouse2	
\E0* Make terrible&  shoelaces?/			Toriel	Ruins	room_torhouse2	
\E0* Talk^2. Really^2. Slowly^2?&* Just kidding^1, snails&  don't talk./			Toriel	Ruins	room_torhouse2	
\E0* Interesting.&              How to exit&  Yeah        the RUINS\C 			Toriel and Frisk	Ruins	room_torhouse2	
* Well^1, bother me&  if you need anything&  else./%%			Toriel	Ruins	room_torhouse2	
\E1* ... I have to do&  something^1.&* Stay here./%%			Toriel	Ruins	room_torhouse2	
\E0* What is it?&              How to exit&  Nothing     the RUINS\C 			Toriel and Frisk	Ruins	room_torhouse2	
* If you need anything^1,&  just ask./%%			Toriel	Ruins	room_torhouse2	
\E1* ... I have to do&  something.&* Stay here./%%.			Toriel	Ruins	room_torhouse2	
\E2NYOO HOO HOO.../			Papyrus	Snowdin	room_fogroom	
I CAN'T EVEN&STOP SOMEONE AS&WEAK AS YOU.../			Papyrus	Snowdin	room_fogroom	
UNDYNE'S GOING TO&BE DISAPPOINTED&IN ME./			Papyrus	Snowdin	room_fogroom	
I'LL NEVER JOIN THE&ROYAL GUARD..^1.&AND.../			Papyrus	Snowdin	room_fogroom	
MY FRIEND QUANTITY&WILL REMAIN&STAGNANT!/			Papyrus	Snowdin	room_fogroom	
* (What should you say?)&         Let's be    What a&         friends     loser\C			Narrator and Frisk	Snowdin	room_fogroom	
murder						
\E0WOWIE!^1!&YOU DID IT!!!/			Papyrus	Snowdin	room_fogroom	
YOU DIDN'T DO A&VIOLENCE!!!/			Papyrus	Snowdin	room_fogroom	
\E5TO BE HONEST^1,&I WAS A LITTLE&AFRAID.../			Papyrus	Snowdin	room_fogroom	
\E0BUT YOU'RE ALREADY&BECOMING A GREAT&PERSON!/			Papyrus	Snowdin	room_fogroom	
\E7I'M SO PROUD I&COULD CRY!!!/			Papyrus	Snowdin	room_fogroom	
\E3... WAIT^1, WASN'T I&SUPPOSED TO&CAPTURE YOU...?/			Papyrus	Snowdin	room_fogroom	
\E0WELL^1, FORGET IT!/			Papyrus	Snowdin	room_fogroom	
I JUST WANT YOU&TO BE THE BEST&PERSON YOU CAN BE./			Papyrus	Snowdin	room_fogroom	
SO LET'S LET&BYBONES BE&BYBONES./			Papyrus	Snowdin	room_fogroom	
I'LL EVEN TELL YOU&HOW TO LEAVE THE&UNDERGROUND!/			Papyrus	Snowdin	room_fogroom	
JUST KEEP GOING&EAST!/			Papyrus	Snowdin	room_fogroom	
EVENTUALLY YOU'LL&REACH THE KING'S&CASTLE./			Papyrus	Snowdin	room_fogroom	
THEN YOU CAN&LEAVE!/%%			Papyrus	Snowdin	room_fogroom	
REALLY!^1?&YOU WANT TO BE&FRIENDS^1, WITH ME???/			Papyrus	Snowdin	room_fogroom	
WELL THEN.../			Papyrus	Snowdin	room_fogroom	
\E0I GUESS..^1./			Papyrus	Snowdin	room_fogroom	
I GUESS&I CAN MAKE AN&ALLOWANCE FOR YOU!/			Papyrus	Snowdin	room_fogroom	
HUH^1?&WHY WOULD YOU.../			Papyrus	Snowdin	room_fogroom	
BERATE YOURSELF&SO LOUDLY???/			Papyrus	Snowdin	room_fogroom	
